date,region,product_category,sales,profit,quantity
2023-11-24,East,Furniture,18836.91,4749.05,24
2023-05-21,West,Clothing,1382.75,464.31,5
2023-02-22,South,Furniture,1447.37,180.86,2
2023-01-16,West,Furniture,5570.11,1328.96,8
2023-09-16,West,Furniture,19511.18,4161.57,23
2023-11-29,West,Electronics,7714.84,2663.05,15
2023-10-29,East,Food,3424.06,595.7,25
2023-03-23,North,Electronics,4933.65,1082.17,9
2023-03-21,North,Clothing,956.48,309.86,4
2023-02-17,East,Electronics,7208.5,1705.51,12
2023-06-26,East,Food,3064.75,497.47,24
2023-08-24,South,Furniture,2285.4,362.51,3
2023-10-10,North,Food,2301.94,611.46,19
2023-04-09,East,Furniture,16189.99,2951.07,22
2023-04-27,East,Food,3552.68,523.78,28
2023-04-30,South,Furniture,7651.01,973.85,9
2023-08-21,West,Food,1256.79,366.76,12
2023-07-01,North,Clothing,6830.83,2522.92,23
2023-12-16,West,Furniture,13775.25,1592.8,18
2023-05-06,South,Clothing,3540.82,1099.16,13
2023-05-19,North,Clothing,6025.82,1923.61,27
2023-01-29,East,Clothing,5603.23,2160.0,26
2023-06-11,North,Electronics,1693.03,501.14,3
2023-04-19,West,Food,2416.93,539.49,21
2023-09-13,South,Electronics,3124.05,685.97,5
2023-05-16,West,Clothing,7136.13,2597.7,24
2023-10-15,South,Food,4102.31,1161.66,29
2023-10-26,North,Electronics,5084.47,1716.01,8
2023-03-12,East,Electronics,13214.59,2925.15,25
2023-01-25,West,Furniture,14545.94,2211.75,21
2023-03-23,East,Electronics,7691.09,1795.22,13
2023-07-15,North,Electronics,12312.63,3042.21,18
2023-01-06,North,Furniture,18966.54,3543.54,25
2023-11-25,East,Food,1079.19,289.6,10
2023-08-11,South,Clothing,219.02,87.15,1
2023-05-15,East,Clothing,7842.0,2131.41,28
2023-11-17,West,Food,511.16,138.26,5
2023-07-11,East,Clothing,5487.0,1956.89,20
2023-06-15,East,Electronics,2687.87,542.54,4
2023-07-05,West,Food,234.11,37.12,2
2023-05-04,East,Furniture,22120.06,4417.99,24
2023-09-06,West,Furniture,3863.26,425.61,5
2023-12-04,West,Electronics,5177.76,1253.17,9
2023-09-28,West,Electronics,19896.52,5809.97,30
2023-10-04,North,Clothing,3771.7,1190.18,13
2023-12-10,South,Food,3103.67,788.7,29
2023-09-22,East,Electronics,5358.12,1499.23,8
2023-04-26,North,Furniture,895.87,160.37,1
2023-10-29,West,Clothing,258.24,79.64,1
2023-02-06,West,Furniture,2061.35,241.72,3
2023-01-17,East,Food,1756.44,424.75,17
2023-05-02,South,Food,806.42,178.52,7
2023-10-04,South,Clothing,2335.3,653.62,8
2023-08-31,West,Electronics,2384.72,741.38,4
2023-02-19,North,Electronics,7812.67,1580.63,14
2023-07-30,East,Electronics,12558.65,2710.1,22
2023-12-01,East,Furniture,12224.1,2802.98,13
2023-06-23,West,Furniture,6001.47,1436.95,7
2023-04-08,West,Electronics,9502.8,2089.2,14
2023-04-04,South,Food,1115.9,252.52,8
2023-02-08,East,Electronics,1359.12,453.1,2
2023-11-30,East,Furniture,23071.23,2713.37,30
2023-05-02,South,Clothing,3719.11,1146.74,16
2023-09-04,South,Clothing,8238.21,3111.71,29
2023-01-31,South,Clothing,213.11,68.56,1
2023-07-19,South,Food,1195.31,209.82,10
2023-08-05,West,Electronics,3746.2,914.14,7
2023-06-01,East,Clothing,5605.09,1635.07,19
2023-10-05,North,Furniture,1650.52,350.71,2
2023-01-26,West,Electronics,1172.72,405.16,2
2023-09-18,West,Furniture,2848.46,399.6,3
2023-11-01,West,Furniture,10649.98,1577.69,13
2023-03-03,East,Clothing,4748.47,1167.66,20
2023-02-11,North,Electronics,19140.26,5176.07,30
2023-05-14,North,Clothing,1736.04,494.05,8
2023-05-16,West,Electronics,15416.19,3519.98,22
2023-11-27,South,Food,1188.94,259.56,11
2023-02-07,South,Furniture,19119.64,2652.45,20
2023-10-16,East,Furniture,15627.56,3467.12,18
2023-04-20,West,Food,3359.42,861.74,30
2023-06-28,West,Furniture,9395.75,1890.13,12
2023-05-26,South,Clothing,7234.21,2356.36,27
2023-10-06,East,Food,2327.43,636.9,22
2023-10-11,East,Food,3348.71,568.75,29
2023-03-10,East,Food,3007.66,705.43,29
2023-02-24,North,Clothing,2717.87,659.5,10
2023-11-06,North,Clothing,1801.16,497.55,7
2023-12-18,South,Food,1161.88,195.08,9
2023-01-27,South,Furniture,23583.49,3817.64,27
2023-05-22,East,Furniture,10365.13,1264.58,11
2023-03-08,West,Food,2791.79,441.54,24
2023-08-15,East,Electronics,2816.74,930.58,4
2023-02-08,East,Clothing,6346.89,2193.47,27
2023-07-09,South,Clothing,1420.03,466.95,5
2023-01-22,North,Food,3603.11,643.86,29
2023-01-21,West,Food,2330.03,660.69,22
2023-05-08,North,Furniture,23302.93,4690.79,25
2023-10-14,West,Electronics,17435.89,4287.02,30
2023-05-02,West,Clothing,8004.61,3070.07,29
2023-07-31,West,Furniture,22281.22,5008.37,24
